"","id",".pred_class"
"1",2,"1"
"2",13,"1"
"3",17,"1"
"4",18,"3"
"5",30,"1"
"6",31,"1"
"7",36,"3"
"8",38,"3"
"9",39,"3"
"10",40,"3"
"11",42,"1"
"12",48,"1"
"13",58,"3"
"14",64,"3"
"15",70,"3"
"16",75,"3"
"17",78,"3"
"18",79,"1"
"19",80,"3"
"20",90,"3"
"21",91,"1"
"22",98,"3"
"23",103,"1"
"24",106,"1"
"25",108,"1"
"26",109,"3"
"27",110,"3"
"28",116,"1"
"29",117,"3"
"30",118,"1"
"31",119,"1"
"32",123,"1"
"33",126,"3"
"34",133,"1"
"35",135,"1"
"36",136,"3"
"37",137,"1"
"38",143,"1"
"39",152,"1"
"40",155,"3"
"41",165,"1"
"42",167,"3"
"43",173,"1"
"44",183,"1"
"45",193,"1"
"46",199,"3"
"47",216,"1"
"48",217,"3"
"49",221,"3"
"50",223,"3"
"51",224,"1"
"52",225,"3"
"53",230,"1"
"54",231,"1"
"55",232,"1"
"56",233,"3"
"57",236,"3"
"58",238,"1"
"59",243,"3"
"60",245,"3"
"61",248,"1"
"62",269,"3"
"63",271,"1"
"64",275,"3"
"65",279,"1"
"66",285,"1"
"67",289,"3"
"68",294,"1"
"69",298,"1"
"70",301,"1"
"71",319,"3"
"72",328,"3"
"73",333,"1"
"74",338,"1"
"75",342,"1"
"76",343,"3"
"77",350,"1"
"78",352,"3"
"79",355,"1"
"80",356,"1"
"81",361,"1"
"82",367,"1"
"83",368,"1"
"84",380,"1"
"85",381,"1"
"86",387,"3"
"87",389,"3"
"88",393,"3"
"89",394,"3"
"90",398,"1"
"91",401,"3"
"92",403,"1"
"93",404,"3"
"94",406,"1"
"95",413,"3"
"96",421,"1"
"97",429,"1"
"98",435,"1"
"99",442,"1"
"100",445,"1"
"101",451,"1"
"102",454,"1"
"103",459,"3"
"104",468,"1"
"105",472,"3"
"106",476,"3"
"107",477,"1"
"108",481,"1"
"109",484,"3"
"110",486,"3"
"111",495,"3"
"112",496,"3"
"113",500,"3"
"114",513,"1"
"115",515,"3"
"116",519,"3"
"117",525,"3"
"118",529,"1"
"119",530,"1"
"120",532,"3"
"121",534,"3"
"122",546,"1"
"123",550,"1"
"124",556,"3"
"125",564,"1"
